site_id,tebufenozide_water_ng_l,tebufenozide_sed_ng_g,ph,cond,temp,depth,length,width,canopy
BDEG_BVR_01,16,3.67,6.57,50.2,14.3,26,48.53,15.16,87
BDEG_BVR_02,24,0.51,7.05,54.5,13.4,14,11.51,3.98,90.38
BDEG_BVR_04,30,0.38,8.24,16.7,14.1,28,9.8,8.62,71.62
BDEG_GPH_01,103,0.11,6.08,176,17.2,50.3,15.22,11.61,96.88
BDEG_GPH_03,39,0.05,5.66,20.3,15.4,67.4,21.43,11.92,92.2
BDEG_KSR_01,26,0.72,4.52,15.1,11.8,23,9.71,8.9,94.8
BDEG_KSR_03,27,0.03,4.5,14.4,13.7,29.5,25.57,11.65,92.46
BDEG_SAMR_03,23,0.01,9.01,19.1,16.3,35.5,34.52,12.7,88.3
BDEG_SAMR_04,24,0.24,8.63,9.2,13.3,56,14.612,6.38,92.98
BDEG_SAMR_05,ND,ND,9.04,10.9,13.3,79,22.4,8.87,73.74
BDEG_SAMR_06,28,0.06,9.49,9.3,13.4,41,18.7,5.85,70.1
BDEG_SMR_01,ND,0.04,5.07,8.8,13.7,29.3,47.35,19.34,62.56
BDEG_SMR_02,100,0.05,5.1,9.2,13.4,36.9,39.98,14.73,90.66
BDEG_SMR_03,59,0.23,5.63,12.7,13.5,41,46.41,9.63,91.16
BDEG_SRR_01,10,0.02,10.06,10.6,11.8,51.5,33.53,11.65,85.62
ROTH_BR_02,0.6,0.01,9.84,26.4,21.9,63,17.1,14.2,55.02
ROTH_BR_03,3.1,0.02,9.92,29.4,19.6,23.5,27.4,12.44,70.1
ROTH_BR_04,3.3,0.04,9.7,31.5,19,30.5,21.83,16.63,75.56
ROTH_KR_08,4.4,0.05,9.38,33.7,17.3,21,22.53,17.63,30.58
ROTH_KR_09,4.9,0.06,4.77,17.6,16.6,42,70.6,12,29.02
ROTH_KR_11,35,0.15,9.97,13.4,15.8,29.5,18.73,13.29,85.71
ROTH_PSR_01,109,1.04,6.33,64.1,25,8,16.93,11.15,87.26
ROTH_PSR_03,135,0.34,9.14,11.6,22.1,40,15.53,12.27,75.3
ROTH_PSR_04,279,1.95,9.45,19,21.3,75,16.04,10.95,83.1
ROTH_PSR_05,128,0.14,10.19,8.7,18.4,22,37.4,24.72,36.56
ROTH_TR_01,6.3,0.03,9.38,33.3,15.2,35.5,44.57,8.9,81.8
ROTH_TR_03,9.5,0.01,10.42,46.6,16.9,16.5,12.63,11.5,90.12
ROTH_TR_05,8.3,0.02,7.08,185.6,17.6,11,9.8,3.6,81.02
TUSC_2NR_03,13,0.12,7.09,14.6,20.9,69,19.55,15.28,96.62
TUSC_2NR_04,17,0.13,7.14,23.3,20.3,20,24.09,20.08,89.86
TUSC_2NR_07,16,0.03,6.86,43.2,18.7,56,10.78,9.63,95.58
TUSC_2NR_08,8,0.14,9.05,22.9,16.4,38.5,25.7,11.09,96.89
TUSC_HR_01,4.9,0.13,8.26,16.5,16.7,26.8,12.72,11.23,96.62
TUSC_HR_02,5.3,0.24,8.46,9.7,17.8,26.5,10.74,8.33,96.62
TUSC_HR_03,3.3,0.2,8.41,11.7,16.1,13,7.46,4.23,98.18
TUSC_HR_04,2,0.07,8.51,10.4,15.9,39.3,16.8,15.5,95.06
TUSC_HR_05,0.2,0.22,8.7,8.8,16.1,28.8,31.63,9.64,96.1
TUSC_HR_06,4.1,0.08,7.75,9.9,14.7,19.6,13.83,9.3,77.12
TUSC_WLCK_03,23,0.04,6.38,12.9,19.3,74,23.74,7.82,93.24
TUSC_WLCK_04,15,0.2,6.51,9.6,18.7,41,12.59,8.52,97.14
TUSC_WLCK_06,7.6,0.21,7.39,19.8,15.1,8,12.32,9.48,92.72
